username,password,ip,goodsId
customer_570085,123,58.100.101.53,1
customer_634870,123,173.250.98.205,1
customer_989020,123,180.199.38.242,1
customer_743027,123,245.190.10.42,1
customer_891989,123,199.4.178.54,1
customer_978287,123,104.195.249.35,1
customer_970039,123,147.24.41.66,1
customer_933212,123,141.80.89.55,1
customer_397261,123,13.20.149.108,1
customer_280495,123,138.45.46.112,1
customer_478581,123,186.195.87.111,1
customer_119660,123,168.173.217.31,1
customer_733000,123,233.53.215.246,1
customer_546497,123,44.5.233.69,1
customer_611791,123,81.214.210.34,1
customer_264352,123,60.249.128.100,1
customer_653006,123,177.128.137.80,1
customer_159084,123,180.34.126.171,1
customer_290545,123,136.171.200.34,1
customer_533697,123,228.225.143.86,1
customer_784363,123,166.223.57.236,1
customer_173424,123,184.140.81.42,1
customer_729193,123,249.25.143.13,1
customer_459648,123,220.126.197.176,1
customer_653215,123,36.70.144.102,1
customer_253917,123,67.244.212.42,1
customer_444531,123,233.213.181.80,1
customer_163592,123,4.149.124.70,1
customer_483287,123,9.203.225.25,1
customer_972714,123,150.2.99.225,1
customer_804743,123,11.249.3.60,1
customer_722612,123,125.96.165.226,1
customer_324856,123,141.72.86.27,1
customer_91507,123,38.136.178.31,1
customer_114004,123,74.146.126.236,1
customer_912050,123,210.194.42.66,1
customer_756860,123,195.156.159.126,1
customer_907241,123,1.118.195.54,1
customer_784813,123,34.67.161.25,1
customer_189993,123,181.149.21.40,1
customer_342604,123,210.135.12.70,1
customer_536228,123,132.229.245.92,1
customer_556760,123,178.159.76.203,1
customer_949437,123,62.10.214.182,1
customer_609003,123,174.138.179.154,1
customer_688024,123,132.63.15.108,1
customer_270867,123,36.143.209.217,1
customer_895029,123,162.152.181.76,1
customer_909205,123,216.135.95.47,1
customer_820193,123,196.5.113.14,1
customer_756825,123,183.14.22.73,1
customer_472746,123,94.231.148.250,1
customer_715674,123,219.59.17.8,1
customer_672207,123,189.240.209.2,1
customer_407741,123,252.136.245.22,1
customer_631091,123,193.30.109.17,1
customer_76302,123,47.215.175.156,1
customer_481705,123,180.209.185.255,1
customer_574901,123,244.71.246.69,1
customer_288736,123,207.163.153.7,1
customer_127891,123,226.14.98.246,1
customer_233571,123,2.156.251.175,1
customer_36238,123,39.96.150.10,1
customer_288912,123,56.221.238.241,1
customer_979745,123,83.106.104.138,1
customer_912190,123,192.9.207.127,1
customer_855923,123,206.124.165.188,1
customer_271589,123,238.53.33.235,1
customer_409242,123,187.153.198.32,1
customer_300503,123,142.220.8.125,1
customer_154888,123,125.164.248.27,1
customer_313940,123,99.219.12.97,1
customer_519283,123,229.116.200.229,1
customer_964898,123,62.178.70.20,1
customer_867604,123,60.172.229.79,1
customer_927923,123,117.42.37.34,1
customer_560917,123,91.239.20.247,1
customer_879937,123,253.159.8.192,1
customer_759280,123,94.7.170.119,1
customer_63753,123,40.198.240.128,1
customer_458814,123,35.213.245.108,1
customer_57438,123,145.19.220.50,1
customer_525278,123,43.40.15.27,1
customer_30216,123,58.211.183.77,1
customer_814780,123,209.200.153.4,1
customer_796470,123,248.5.127.120,1
customer_281757,123,167.5.227.232,1
customer_281362,123,138.35.44.202,1
customer_163901,123,114.151.84.77,1
customer_451017,123,2.38.82.38,1
customer_314557,123,66.99.81.243,1
customer_934628,123,232.128.152.249,1
customer_436498,123,124.126.246.107,1
customer_962659,123,122.115.215.31,1
customer_197348,123,38.129.193.96,1
customer_851563,123,207.30.37.111,1
customer_462752,123,230.196.74.120,1
customer_899819,123,93.15.99.201,1
customer_935420,123,27.47.179.198,1
customer_215988,123,175.235.162.241,1
customer_689535,123,95.216.165.84,1
customer_806300,123,177.62.201.150,1
customer_991575,123,113.36.119.171,1
customer_889808,123,249.90.151.154,1
customer_42825,123,65.184.239.216,1
customer_687565,123,121.125.160.141,1
customer_271434,123,103.51.227.179,1
customer_625481,123,104.181.174.91,1
customer_851765,123,21.186.217.15,1
customer_193405,123,13.105.118.12,1
customer_579107,123,193.154.227.239,1
customer_825710,123,69.95.35.245,1
customer_892440,123,62.209.112.12,1
customer_404760,123,30.148.86.100,1
customer_825699,123,21.166.90.214,1
customer_635375,123,102.47.175.46,1
customer_620350,123,134.196.109.133,1
customer_785699,123,155.95.78.79,1
customer_740634,123,187.168.236.113,1
customer_159461,123,240.187.121.188,1
customer_665599,123,52.36.115.202,1
customer_550740,123,162.164.88.82,1
customer_727313,123,86.66.205.182,1
customer_943692,123,19.147.208.212,1
customer_965843,123,249.43.14.59,1
customer_984366,123,35.116.148.229,1
customer_850874,123,66.124.152.40,1
customer_165204,123,235.29.230.86,1
customer_573694,123,136.121.92.140,1
customer_83356,123,156.6.118.136,1
customer_358723,123,16.53.252.135,1
customer_761400,123,4.194.79.193,1
customer_344408,123,119.117.102.138,1
customer_956984,123,201.249.118.93,1
customer_945378,123,230.67.97.39,1
customer_234112,123,59.55.148.104,1
customer_42184,123,254.114.44.164,1
customer_74553,123,115.52.252.58,1
customer_52822,123,8.141.35.242,1
customer_155497,123,68.235.30.36,1
customer_810630,123,160.127.182.136,1
customer_4642,123,58.75.150.106,1
customer_824964,123,151.62.31.125,1
customer_789429,123,253.160.102.27,1
customer_916946,123,221.88.99.192,1
customer_276498,123,129.103.170.46,1
customer_948539,123,253.76.91.239,1
customer_530160,123,32.214.232.206,1
customer_271107,123,40.159.242.59,1
customer_410453,123,135.182.6.155,1
customer_693594,123,189.134.111.104,1
customer_983106,123,44.15.96.214,1
customer_49175,123,158.63.87.123,1
customer_293813,123,21.86.175.118,1
customer_501208,123,60.220.62.102,1
customer_596933,123,68.113.128.68,1
customer_579210,123,53.37.47.179,1
customer_21144,123,185.103.234.22,1
customer_238279,123,21.249.25.54,1
customer_765520,123,37.14.66.59,1
customer_621991,123,57.93.30.124,1
customer_209527,123,139.204.155.110,1
customer_523405,123,115.195.212.250,1
customer_481095,123,181.151.73.43,1
customer_896797,123,193.189.138.75,1
customer_272737,123,154.236.153.207,1
customer_538439,123,188.215.49.124,1
customer_921179,123,219.254.86.44,1
customer_762379,123,48.229.186.173,1
customer_721032,123,165.89.121.109,1
customer_883529,123,93.76.125.10,1
customer_348360,123,250.80.47.40,1
customer_91684,123,22.241.202.34,1
customer_179161,123,102.101.16.43,1
customer_403513,123,255.76.210.164,1
customer_992862,123,244.122.4.169,1
customer_895528,123,109.233.217.242,1
customer_65267,123,221.219.169.105,1
customer_66693,123,108.46.182.75,1
customer_873925,123,141.70.162.233,1
customer_705583,123,88.155.220.100,1
customer_140003,123,30.120.207.249,1
customer_543742,123,93.238.93.164,1
customer_618043,123,12.84.171.252,1
customer_122262,123,127.93.245.237,1
customer_606093,123,238.2.239.237,1
customer_7733,123,217.207.54.128,1
customer_356105,123,100.86.46.196,1
customer_45840,123,177.123.140.27,1
customer_925942,123,204.70.249.84,1
customer_420693,123,52.131.242.90,1
customer_272687,123,40.61.37.151,1
customer_62595,123,23.134.62.98,1
customer_984440,123,132.162.42.56,1
customer_511325,123,131.119.12.83,1
customer_479728,123,73.215.79.101,1
customer_823710,123,100.211.80.65,1
customer_323306,123,64.112.66.236,1
customer_340911,123,94.176.178.252,1
customer_196621,123,35.126.6.136,1
customer_23584,123,34.186.183.196,1
customer_396947,123,91.38.244.117,1
customer_616249,123,211.19.56.186,1
customer_316124,123,164.43.167.175,1
customer_277359,123,32.102.184.145,1
customer_965476,123,60.214.247.115,1
customer_196397,123,227.109.9.163,1
customer_338391,123,78.76.250.25,1
customer_308003,123,152.102.76.222,1
customer_477031,123,136.204.123.91,1
customer_100083,123,76.176.62.91,1
customer_498891,123,84.185.15.156,1
customer_49995,123,222.156.225.20,1
customer_57575,123,19.79.119.35,1
customer_58004,123,172.58.152.171,1
customer_581920,123,188.106.236.12,1
customer_860682,123,123.234.16.145,1
customer_539072,123,67.211.150.249,1
customer_689707,123,65.2.145.80,1
customer_220399,123,210.36.11.72,1
customer_688181,123,223.241.65.40,1
customer_250564,123,162.21.190.179,1
customer_181481,123,42.99.150.237,1
customer_36849,123,80.9.204.200,1
customer_523285,123,163.148.7.183,1
customer_619831,123,151.34.117.178,1
customer_309065,123,8.72.236.147,1
customer_434113,123,214.138.35.153,1
customer_192375,123,194.115.178.53,1
customer_389840,123,172.244.10.175,1
customer_915476,123,145.64.165.86,1
customer_822747,123,229.64.240.120,1
customer_109585,123,152.85.134.75,1
customer_143175,123,43.246.33.94,1
customer_789326,123,173.27.7.108,1
customer_238156,123,65.124.169.196,1
customer_958567,123,38.25.100.140,1
customer_134878,123,10.93.122.79,1
customer_656908,123,176.242.182.94,1
customer_557167,123,196.217.94.150,1
customer_47529,123,224.162.154.148,1
customer_920674,123,113.148.247.8,1
customer_521123,123,247.75.192.85,1
customer_33170,123,94.51.57.14,1
customer_308445,123,48.206.17.199,1
customer_360909,123,71.93.243.210,1
customer_15047,123,96.68.206.10,1
customer_588188,123,163.111.90.127,1
customer_879168,123,82.164.160.31,1
customer_563710,123,224.174.76.193,1
customer_544846,123,91.234.75.233,1
customer_899400,123,88.127.242.244,1
customer_654074,123,73.137.55.33,1
customer_290452,123,116.114.214.23,1
customer_780555,123,144.231.216.154,1
customer_649394,123,147.225.161.158,1
customer_172785,123,27.50.135.11,1
customer_468148,123,160.31.249.150,1
customer_648682,123,76.214.184.211,1
customer_841918,123,113.108.195.72,1
customer_999485,123,105.184.235.207,1
customer_745211,123,45.240.221.205,1
customer_961604,123,131.172.242.226,1
customer_635406,123,54.186.32.69,1
customer_748480,123,248.195.66.235,1
customer_920548,123,215.143.212.171,1
customer_572795,123,78.68.184.196,1
customer_80381,123,143.35.15.222,1
customer_863855,123,230.116.162.131,1
customer_266565,123,103.82.219.92,1
customer_112440,123,167.9.148.177,1
customer_149292,123,43.16.165.201,1
customer_949879,123,253.32.12.79,1
customer_568418,123,104.96.62.145,1
customer_2322,123,5.27.51.180,1
customer_364386,123,55.233.53.126,1
customer_943790,123,36.189.230.26,1
customer_352173,123,89.41.99.244,1
customer_752390,123,128.149.136.10,1
customer_754272,123,155.48.118.144,1
customer_425424,123,171.173.99.21,1
customer_622012,123,40.178.74.51,1
customer_376028,123,158.96.83.15,1
customer_677127,123,160.117.237.111,1
customer_470107,123,4.95.8.41,1
customer_787294,123,208.138.159.35,1
customer_868539,123,186.104.215.4,1
customer_710795,123,85.220.140.130,1
customer_192455,123,29.189.16.44,1
customer_779239,123,178.81.160.165,1
customer_938209,123,213.159.247.253,1
customer_238052,123,80.153.250.85,1
customer_648370,123,132.3.187.255,1
customer_954004,123,94.82.64.181,1
customer_83570,123,128.82.211.197,1
customer_72465,123,69.223.71.61,1
customer_513989,123,27.124.188.114,1
customer_236058,123,106.238.191.71,1
customer_898958,123,171.60.113.138,1
customer_8731,123,122.8.63.117,1
customer_893691,123,62.54.87.38,1
customer_586599,123,183.115.241.189,1
customer_139408,123,62.147.215.74,1
customer_708053,123,25.158.57.79,1
customer_877501,123,239.181.189.174,1
customer_104149,123,198.5.72.181,1
customer_485817,123,223.151.218.74,1
customer_299803,123,164.202.88.194,1
customer_462043,123,214.90.199.101,1
customer_166282,123,156.184.97.141,1
customer_382142,123,60.129.210.224,1
customer_694586,123,91.9.90.163,1
customer_256613,123,84.143.253.9,1
customer_299726,123,206.127.248.247,1
customer_344865,123,38.96.124.11,1
customer_80871,123,35.132.13.35,1
customer_394963,123,49.145.202.217,1
customer_443337,123,88.18.96.136,1
customer_462425,123,223.39.170.232,1
customer_493222,123,173.31.243.7,1
customer_326111,123,208.11.62.204,1
customer_554566,123,64.85.231.74,1
customer_587863,123,83.25.6.12,1
customer_573370,123,150.207.118.248,1
customer_34763,123,21.87.1.209,1
customer_559901,123,67.246.16.144,1
customer_16961,123,181.133.253.83,1
customer_433113,123,254.246.70.85,1
customer_289690,123,96.205.200.208,1
customer_891856,123,76.237.57.156,1
customer_346505,123,147.134.90.240,1
customer_324177,123,66.94.174.137,1
customer_998904,123,189.234.11.184,1
customer_606576,123,37.65.220.56,1
customer_801805,123,10.161.205.249,1
customer_264418,123,134.151.180.98,1
customer_96791,123,116.230.100.136,1
customer_294972,123,222.28.137.10,1
customer_992138,123,126.214.138.87,1
customer_424734,123,1.10.73.81,1
customer_912127,123,110.193.155.94,1
customer_712967,123,159.161.204.70,1
customer_645259,123,52.123.73.50,1
customer_618389,123,67.206.153.22,1
customer_381053,123,141.211.6.94,1
customer_132270,123,64.78.180.228,1
customer_509977,123,49.183.240.38,1
customer_994190,123,237.62.168.165,1
customer_152938,123,210.71.249.11,1
customer_252034,123,109.141.116.56,1
customer_170948,123,124.182.17.15,1
customer_944684,123,108.196.223.41,1
customer_758380,123,21.38.114.107,1
customer_834452,123,104.200.14.78,1
customer_582296,123,137.69.61.180,1
customer_728414,123,53.90.147.82,1
customer_222532,123,93.174.13.185,1
customer_901115,123,155.155.152.177,1
customer_311424,123,69.236.21.204,1
customer_446214,123,139.112.69.185,1
customer_600928,123,37.223.57.185,1
customer_352332,123,113.55.216.197,1
customer_444441,123,236.138.153.233,1
customer_862436,123,207.46.13.103,1
customer_444667,123,182.223.76.110,1
customer_356333,123,223.116.218.168,1
customer_49317,123,160.118.88.48,1
customer_293987,123,208.210.219.19,1
customer_644365,123,130.144.77.21,1
customer_857988,123,251.196.179.71,1
customer_205104,123,44.126.219.94,1
customer_465335,123,11.140.212.66,1
customer_803893,123,73.81.98.94,1
customer_155250,123,31.212.205.182,1
customer_131803,123,148.133.53.67,1
customer_129645,123,85.175.217.166,1
customer_789665,123,130.249.236.53,1
customer_508491,123,35.18.4.200,1
customer_2558,123,129.31.169.52,1
customer_594261,123,23.168.123.26,1
customer_968344,123,227.114.184.34,1
customer_254515,123,197.203.255.183,1
customer_626343,123,22.222.21.80,1
customer_507053,123,22.208.23.119,1
customer_615261,123,155.24.105.77,1
customer_306790,123,30.91.176.132,1
customer_945696,123,26.31.189.77,1
customer_513780,123,182.211.114.231,1
customer_31115,123,161.253.160.45,1
customer_476582,123,44.163.137.250,1
customer_173844,123,182.4.176.198,1
customer_650601,123,63.228.243.230,1
customer_910911,123,59.122.47.13,1
customer_861,123,211.152.113.32,1
customer_794967,123,23.179.3.206,1
customer_870012,123,44.88.246.185,1
customer_443329,123,129.230.211.156,1
customer_738398,123,70.4.159.127,1
customer_849331,123,178.247.191.182,1
customer_501285,123,250.21.234.85,1
customer_343024,123,61.226.186.224,1
customer_201806,123,1.97.162.27,1
customer_661990,123,60.47.103.5,1
customer_421569,123,44.50.147.205,1
customer_508386,123,130.70.177.240,1
customer_772564,123,128.214.9.202,1
customer_630409,123,135.49.99.31,1
customer_311413,123,20.180.229.208,1
customer_34775,123,145.187.97.102,1
customer_175241,123,190.219.243.241,1
customer_562708,123,62.193.171.173,1
customer_421406,123,177.111.145.186,1
customer_109397,123,149.194.209.221,1
customer_563303,123,233.39.177.14,1
customer_990501,123,196.219.151.118,1
customer_491288,123,110.219.245.66,1
customer_197280,123,157.247.41.203,1
customer_202246,123,213.207.107.203,1
customer_767938,123,254.53.97.37,1
customer_430913,123,18.250.101.155,1
customer_843668,123,100.159.18.40,1
customer_40960,123,77.193.64.6,1
customer_900304,123,128.248.133.244,1
customer_887632,123,11.224.119.142,1
customer_459705,123,252.185.189.73,1
customer_420805,123,43.232.76.64,1
customer_114810,123,131.87.163.204,1
customer_353594,123,150.83.120.54,1
customer_351005,123,151.174.121.221,1
customer_872885,123,247.106.55.174,1
customer_344864,123,189.187.73.186,1
customer_399276,123,122.161.117.36,1
customer_718137,123,100.115.175.9,1
customer_648607,123,203.196.36.165,1
customer_128950,123,131.148.252.225,1
customer_587234,123,47.203.110.38,1
customer_112421,123,137.25.5.25,1
customer_615025,123,182.75.92.38,1
customer_941049,123,112.240.55.172,1
customer_980911,123,113.214.132.69,1
customer_885441,123,153.9.204.57,1
customer_24464,123,195.14.15.193,1
customer_20993,123,189.177.183.245,1
customer_635434,123,234.7.129.68,1
customer_424540,123,21.226.79.133,1
customer_616826,123,168.207.86.150,1
customer_990084,123,69.23.242.49,1
customer_359817,123,62.84.177.215,1
customer_425867,123,195.182.20.141,1
customer_528965,123,214.182.222.121,1
customer_60873,123,70.78.159.237,1
customer_593174,123,238.81.195.203,1
customer_322515,123,16.183.118.16,1
customer_536122,123,73.156.116.100,1
customer_5537,123,35.120.122.253,1
customer_32121,123,114.241.55.33,1
customer_218338,123,27.190.38.83,1
customer_303758,123,72.78.5.19,1
customer_100311,123,28.153.62.158,1
customer_171246,123,187.244.34.213,1
customer_133687,123,222.62.77.16,1
customer_631877,123,180.185.178.213,1
customer_126435,123,67.66.190.51,1
customer_218907,123,39.2.132.185,1
customer_328559,123,164.109.44.139,1
customer_528690,123,65.21.92.133,1
customer_839634,123,238.165.82.227,1
customer_685870,123,53.252.24.160,1
customer_64468,123,215.6.152.2,1
customer_673753,123,188.52.240.180,1
customer_540803,123,127.55.245.170,1
customer_414972,123,96.93.204.140,1
customer_240978,123,249.208.85.66,1
customer_754042,123,138.183.51.55,1
customer_831251,123,207.71.77.45,1
customer_465383,123,223.181.189.17,1
customer_592764,123,244.92.221.217,1
customer_74066,123,87.238.94.57,1
customer_960523,123,49.73.182.152,1
customer_278471,123,237.201.124.24,1
customer_988187,123,24.110.211.114,1
customer_276701,123,93.6.60.245,1
customer_722819,123,49.171.159.205,1
customer_909510,123,63.193.72.1,1
customer_262706,123,33.127.198.235,1
customer_78682,123,176.177.145.90,1
customer_984486,123,99.94.67.215,1
customer_823720,123,88.161.24.65,1
customer_903214,123,84.39.118.86,1
customer_189548,123,15.175.108.63,1
customer_321837,123,130.96.193.78,1
customer_242423,123,202.189.23.53,1
customer_290358,123,58.3.37.123,1
customer_371049,123,248.136.63.193,1
customer_616639,123,98.221.164.236,1
customer_379615,123,130.15.166.200,1
customer_478816,123,208.35.102.109,1
customer_980358,123,94.161.104.100,1
customer_38028,123,181.126.75.165,1
customer_92075,123,151.218.249.71,1
customer_338472,123,138.230.123.236,1
customer_256950,123,139.94.236.176,1
customer_455419,123,210.160.219.15,1
customer_802883,123,74.238.141.181,1
customer_553390,123,174.164.181.23,1
customer_339303,123,149.78.58.7,1
customer_136128,123,144.239.249.106,1
customer_335479,123,249.174.63.103,1
customer_219186,123,192.35.213.245,1
customer_406915,123,98.117.223.112,1
customer_545126,123,226.79.88.62,1
customer_353304,123,160.12.25.76,1
customer_434303,123,74.211.84.255,1
customer_882623,123,164.78.10.181,1
customer_851132,123,174.209.179.119,1
customer_213706,123,109.37.16.230,1
customer_858942,123,128.211.251.155,1
customer_79077,123,247.134.135.141,1
customer_279034,123,33.105.233.39,1
customer_195725,123,43.65.13.56,1
customer_280804,123,145.60.238.3,1
customer_242953,123,166.57.178.151,1
customer_938075,123,248.77.151.183,1
customer_911692,123,51.162.63.106,1
customer_180881,123,244.196.128.49,1
customer_727013,123,66.10.237.166,1
customer_990220,123,61.49.223.207,1
customer_267427,123,159.14.154.187,1
customer_804263,123,208.123.255.3,1
customer_588560,123,156.76.189.27,1
customer_246945,123,162.97.60.80,1
customer_768974,123,207.195.73.24,1
customer_438418,123,139.134.157.32,1
customer_647912,123,112.170.230.175,1
customer_814197,123,89.253.101.62,1
customer_610196,123,225.29.97.183,1
customer_401284,123,50.147.120.140,1
customer_265812,123,97.86.37.181,1
customer_381779,123,147.82.89.111,1
customer_925040,123,146.85.197.228,1
customer_143621,123,53.119.254.94,1
customer_244701,123,221.187.177.246,1
customer_144106,123,63.117.233.149,1
customer_94610,123,250.127.110.7,1
customer_278655,123,224.64.35.225,1
customer_498211,123,207.105.200.132,1
customer_541599,123,95.235.81.34,1
customer_835183,123,101.68.199.80,1
customer_884328,123,139.88.206.180,1
customer_992991,123,217.28.235.176,1
customer_202140,123,4.164.184.186,1
customer_445081,123,148.100.72.152,1
customer_239359,123,34.62.237.214,1
customer_571113,123,111.136.74.138,1
customer_154668,123,3.190.67.78,1
customer_70258,123,160.146.148.159,1
customer_127290,123,77.26.186.30,1
customer_549559,123,2.213.190.226,1
customer_173064,123,166.160.2.248,1
customer_873648,123,218.177.84.6,1
customer_787859,123,230.252.170.102,1
customer_11948,123,190.239.128.129,1
customer_917424,123,247.249.28.77,1
customer_148206,123,23.7.39.19,1
customer_403302,123,84.85.251.233,1
customer_570468,123,156.102.91.130,1
customer_846312,123,158.69.38.152,1
customer_830727,123,233.101.82.58,1
customer_652972,123,58.62.224.2,1
customer_484937,123,11.141.241.162,1
customer_945094,123,157.94.18.55,1
customer_700153,123,116.59.253.69,1
customer_416034,123,117.44.67.241,1
customer_103121,123,181.130.156.225,1
customer_454349,123,155.219.28.173,1
customer_964010,123,82.35.49.158,1
customer_493768,123,176.213.169.106,1
customer_64996,123,183.227.193.112,1
customer_467147,123,145.204.98.66,1
customer_25467,123,19.69.227.219,1
customer_993496,123,11.116.73.49,1
customer_340929,123,53.176.184.92,1
customer_949162,123,170.180.78.137,1
customer_500175,123,85.210.239.222,1
customer_217202,123,239.34.188.164,1
customer_37084,123,117.243.115.188,1
customer_89231,123,84.114.218.31,1
customer_631955,123,162.20.72.148,1
customer_100146,123,73.37.207.213,1
customer_106037,123,6.212.118.230,1
customer_116643,123,98.185.216.102,1
customer_456252,123,172.224.31.151,1
customer_220831,123,206.32.75.240,1
customer_260997,123,101.206.226.98,1
customer_600580,123,134.120.29.107,1
customer_363802,123,181.74.18.37,1
customer_601130,123,93.35.18.115,1
customer_491321,123,249.19.218.87,1
customer_199828,123,199.18.11.78,1
customer_812910,123,218.78.7.24,1
customer_364351,123,224.84.230.168,1
customer_151198,123,231.158.102.210,1
customer_379234,123,58.236.7.145,1
customer_100423,123,195.191.6.132,1
customer_247131,123,184.55.70.197,1
customer_914353,123,57.61.121.146,1
customer_564263,123,178.95.154.82,1
customer_637654,123,71.195.87.76,1
customer_626049,123,160.87.226.35,1
customer_504458,123,132.234.222.198,1
customer_922990,123,234.13.105.252,1
customer_577999,123,121.181.16.224,1
customer_516755,123,139.174.61.226,1
customer_231234,123,181.31.185.93,1
customer_543404,123,207.75.252.237,1
customer_253691,123,108.158.85.156,1
customer_100042,123,236.214.250.6,1
customer_862862,123,227.143.128.184,1
customer_976564,123,20.157.137.245,1
customer_501890,123,95.92.6.154,1
customer_376818,123,255.231.240.248,1
customer_999685,123,108.16.51.80,1
customer_420955,123,62.75.202.152,1
customer_909284,123,17.13.211.170,1
customer_451005,123,128.214.130.11,1
customer_335307,123,198.129.96.152,1
customer_177251,123,21.169.185.66,1
customer_26952,123,74.43.59.37,1
customer_344519,123,133.201.48.73,1
customer_871469,123,2.133.238.243,1
customer_593789,123,39.7.21.165,1
customer_870235,123,152.251.102.6,1
customer_664700,123,254.182.231.28,1
customer_937839,123,45.191.18.230,1
customer_104638,123,99.103.106.89,1
customer_849266,123,253.211.128.6,1
customer_218456,123,48.138.71.79,1
customer_21381,123,179.196.45.41,1
customer_401130,123,10.150.128.244,1
customer_882034,123,200.248.134.221,1
customer_516958,123,153.73.153.20,1
customer_956566,123,145.241.115.221,1
customer_728104,123,74.163.34.130,1
customer_717405,123,102.12.141.82,1
customer_2122,123,172.14.103.132,1
customer_671100,123,194.128.247.239,1
customer_696812,123,79.96.142.87,1
customer_219646,123,240.126.217.21,1
customer_849875,123,178.59.200.148,1
customer_387288,123,87.5.250.175,1
customer_86686,123,21.208.163.168,1
customer_443874,123,44.9.212.91,1
customer_326704,123,169.38.171.10,1
customer_192897,123,35.103.40.97,1
customer_771469,123,38.112.14.138,1
customer_387641,123,22.67.192.229,1
customer_397028,123,35.113.120.214,1
customer_267549,123,189.45.197.213,1
customer_513602,123,18.163.154.15,1
customer_742609,123,250.175.255.10,1
customer_156597,123,231.250.188.7,1
customer_857,123,253.228.132.190,1
customer_635745,123,52.142.40.219,1
customer_412168,123,88.85.20.120,1
customer_881663,123,242.173.130.233,1
customer_902218,123,112.48.230.185,1
customer_174458,123,240.182.229.243,1
customer_730621,123,64.220.21.161,1
customer_64206,123,90.42.186.146,1
customer_118126,123,76.152.197.196,1
customer_765673,123,137.113.108.8,1
customer_261039,123,170.13.35.8,1
customer_693353,123,186.144.128.120,1
customer_360610,123,33.95.220.157,1
customer_273275,123,219.142.159.8,1
customer_181106,123,122.131.192.42,1
customer_724268,123,1.218.255.80,1
customer_664873,123,106.241.246.42,1
customer_278794,123,240.55.233.85,1
customer_449486,123,100.125.144.229,1
customer_529402,123,89.24.201.69,1
customer_106908,123,63.197.203.197,1
customer_18573,123,33.25.186.244,1
customer_212840,123,177.66.145.251,1
customer_951807,123,59.36.13.46,1
